"table","item","cohort","scale","coverage_percent","normalized_mae","spearman","candidate_count","share_percent","full_time_seconds","fused_time_seconds","speedup","ci_low","ci_high","fidelity","status","notes","source"
"headline_summary","CUSTOM/eGFP-lung","Fresh confirmation seeds 200-203","4 pools; 4000 candidates","96.1","","","4000","","545.5689","56.1454","9.71708","9.46634","10.11466","Exact top-10 set in 4 of 4 pools","PASS - workload-specific","All selected candidates had exact MFE values","data/analysis/custom-egfp-lung/results-summary.json"
"headline_summary","LigandMPNN-ESMFold v3","External seeds 20000-20019","20 trajectories; 70 unique inputs","70.0","","","70","","","","","","","Joint accuracy audit failed","REJECTED","No v3 speedup claim","data/experiments/ligandmpnn-esmfold-joint-v3/audit.json"
"headline_summary","Scaled Evo2","Independent seed 1 audit and seed 2 safety timing","192 proposals per trajectory","0.0","","","192","","","","0.98244","","","Exact through full-model fallback","REJECTED SAFELY","Single timing pair showed about 1.8 percent routing overhead","data/analysis/evo2-enformer-borzoi/campaign-status.json"
"external_audit","CUSTOM whole-body MFE","Frozen external seeds 44-47","4 pools; 4000 candidates","99.075","0.0420469","0.983456","4000","","","","","","","3963 accepted; 37 exact fallbacks","PASS","Only whole-body MFE was approximated; four other objectives remained exact","data/analysis/custom-egfp-lung/frozen-sampled-mfe-audit-v2.json"
"external_audit","LigandMPNN objective","External seeds 20000-20019","20 trajectories; 70 unique inputs","70.0","0.087602","0.932959","70","","","","","","","49 accepted; 21 fallbacks","FAIL","Normalized MAE exceeded 0.05 although rank correlation passed","data/experiments/ligandmpnn-esmfold-joint-v3/audit.json"
"external_audit","ESMFold objective","External seeds 20000-20019","20 trajectories; 70 unique inputs","70.0","0.096906","0.814184","70","","","","","","","49 accepted; 21 fallbacks","FAIL","Normalized MAE exceeded 0.05 and Spearman was below 0.90","data/experiments/ligandmpnn-esmfold-joint-v3/audit.json"
"external_audit","Evo2 Enformer objective","Independent seed 1","192 proposals","0.0","","0.238","192","","","","","","","All proposals used original-model fallback","FAIL","190 out of range and 2 out of distribution across the joint artifact","data/analysis/evo2-enformer-borzoi/campaign-status.json"
"external_audit","Evo2 Borzoi objective","Independent seed 1","192 proposals","0.0","","0.437","192","","","","","","","All proposals used original-model fallback","FAIL","190 out of range and 2 out of distribution across the joint artifact","data/analysis/evo2-enformer-borzoi/campaign-status.json"
"custom_validation_funnel","Released-implementation parity","Seed 0","1 pool; 1000 candidates","","","","1000","","","","","","","Same pool hash; zero objective delta; identical ordered top 10","PASS","Validates parity with released CUSTOM implementation on the matching pool","data/analysis/custom-egfp-lung/reference-parity-seed-000.json"
"custom_validation_funnel","Development","Seeds 10-29","20 pools; 20000 candidates","","","","20000","","","","","","","All-five-objective surrogates failed","NARROWED SCOPE","Selected a whole-body-MFE-only approximation","docs/CUSTOM_REPRODUCTION.md"
"custom_validation_funnel","Frozen external audit","Seeds 44-47","4 pools; 4000 candidates","99.075","0.0420469","0.983456","4000","","","","","","","Accuracy and routing gates passed","PASS","These seeds were later considered opened and not used as pristine policy confirmation","data/analysis/custom-egfp-lung/frozen-sampled-mfe-audit-v2.json"
"custom_validation_funnel","Adaptive-policy selection","Development model-selection pools","Boundary budgets 10 to 200","","","","","","","","","","","Mean and minimum top-10 recall of 1.0 under the selected policy","SELECTED","Selected sampled MFE with uncertainty boundary and tail closure","data/analysis/custom-egfp-lung/adaptive-boundary-tail-2-experiment.json"
"custom_validation_funnel","Fresh confirmation","Seeds 200-203","4 pools; 4000 candidates","96.1","","","4000","","545.5689","56.1454","9.71708","9.46634","10.11466","Exact top-10 set in 4 of 4 pools","PASS","Policy was frozen before opening these seeds","data/analysis/custom-egfp-lung/paired-adaptive-boundary-fresh-seeds-200-203.json"
"custom_confirmation_routing","Sampled MFE surrogate","Seeds 200-203","4 fresh pools","","","","3844","96.1","","","","","","Used sampled 80-window MFE estimate","ACCEPTED","Avoided initial exact 638-window MFE evaluation for these candidates","data/analysis/custom-egfp-lung/paired-adaptive-boundary-fresh-seeds-200-203.json"
